UNIT_BUILD_TIME_IW;$VAL$天:;;;;;;;;;;X
SUPPLY_OWNER;省份所有者：;;;;;;;;;;X
SUPPLY_ALLIED;盟国：;;;;;;;;;;X
SUPPLY_ACCESS;军事通行：;;;;;;;;;;X
SUPPLY_CONTROLLER;被控制：;;;;;;;;;;X
SUPPLY_CONTROLLER_ALLIANCE;被盟国控制：;;;;;;;;;;X
SUPPLY_SIEGE;围城：;;;;;;;;;;X
SUPPLY_CORE;核心：;;;;;;;;;;X
fascist_uh;法西斯主义者支持扩大社会改革和消除政治改革，如果执政党不是法西斯的话他们会反对任何改革;;;;;;;;;;X
reactionary_uh;反动主义者总是企图推翻改革，使政治改革和社会改革都倒转;;;;;;;;;;X
conservative_uh;保守主义者倾向于维持现状，但是在斗争激烈的情况下也可能会转向支持改革;;;;;;;;;;X
socialist_uh;社会主义者希望看到新的社会改革法规，但是在斗争激烈的情况下也可能会转向支持政治改革;;;;;;;;;;X
communist_uh;共产主义者想要制定社会改革的法规，但是希望看到政治改革倒退;;;;;;;;;;X
liberal_uh;自由主义者想要制定新的政治改革法规，但在斗争激烈的情况下也将同样支持社会改革;;;;;;;;;;X
anarcho_liberal_uh;无政府自由主义者希望看到社会改革倒退，也将不会支持新的任何形式的改革;;;;;;;;;;X
RP_ACCUMULATED;我们目前已经积累了$VAL$点研究点数未使用;;;;;;;;;;X
WEGAINCB_SETUP;当我国获得战争借口;;;;;;;;;;X
WEGAINCB_HEADER;$MONARCHTITLE$;;;;;;;;;;X
WEGAINCB_1;战争借口;;;;;;;;;;X
WEGAINCB_2;我们已经获得了;;;;;;;;;;X
WEGAINCB_3;针对$ENEMY$;;;;;;;;;;X
WEGAINCB_4;的战争借口;;;;;;;;;;X
WEGAINCB_5;“$CASUS$”;;;;;;;;;;X
WEGAINCB_6;$DESC$;;;;;;;;;;X
WEGAINCB_LOG;我国获得针对$ENEMY$的战争借口“$CASUS$”。;;;;;;;;;;X
WEGAINCB_BTN1;很好;;;;;;;;;;X
WEGAINCB_BTN2;很好;;;;;;;;;;X
WEGAINCB_BTN3;查看;;;;;;;;;;X
WEGAINCB_MAP;*;;;;;;;;;;X
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$解放$COUNTRY$之战;;;;;;;;;;;X
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST_COUNTRY$扶持$COUNTRY$;;;;;;;;;;X
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST_COUNTRY$殖民征服$STATE$;;;;;;;;;;X
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$$STATE$殖民战争;;;;;;;;;;X
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST_COUNTRY$征服$STATE$;;;;;;;;;;X
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$$STATE$战争;;;;;;;;;;X
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST_COUNTRY$解放$STATE$;;;;;;;;;;X
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST_COUNTRY$侵略$STATE$;;;;;;;;;;X
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$$COUNTRY$战争;;;;;;;;;;X
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$在$COUNTRY_ADJ$ $FIRST_COUNTRY$ - $SECOND_COUNTRY$ 战争;;;;;;;;;;X
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$降服$SECOND_COUNTRY$之战;;;;;;;;;;X
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$制服$SECOND_COUNTRY$之战;;;;;;;;;;X
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$内战;;;;;;;;;;X
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$内战;;;;;;;;;;X
NORMAL_WAR_CONQUEST_NAME;$ORDER$征服$SECOND_COUNTRY$之战;;;;;;;;;;X
AGRESSION_WAR_CONQUEST_NAME;$ORDER$$FIRST_COUNTRY$侵略$SECOND_COUNTRY$之战;;;;;;;;;;X
ADJ_FORT_EXTRA_ATTR;+$VAL$%来自附近敌对的要塞;;;;;;;;;;X
IS_NOT_ACCEPTED_CULTURE_POP;不是被接受民族\n;;;;;;;;;;X
IS_ACCEPTED_CULTURE_POP;是被接受民族\n;;;;;;;;;;X
IS_NOT_PRIMARY_CULTURE_POP;不是$NAME$\n;;;;;;;;;;X
IS_PRIMARY_CULTURE_POP;是$NAME$\n;;;;;;;;;;X
NEW_CORE_EFFECT_TAG2;$TAG$将获得$NEW$的核心\n;;;;;;;;;;X
digin;战壕;;;;;;;;;;X
terrain;地形;;;;;;;;;;X
crossing;路口;;;;;;;;;;X
total_occupation;被占领的本土省份;;;;;;;;;;X
total_blockaded;被封锁的本土港口;;;;;;;;;;X
PW_SLAVE_STATE;蓄奴区;;;;;;;;;;X
CURR_REL_TT;我们目前的关系;;;;;;;;;;X
great_power;列强;;;;;;;;;;X
second_power;次强;;;;;;;;;;X
civ_nation;开化国家;;;;;;;;;;X
unciv_nation;未开化国家;;;;;;;;;;X
REB_TYPE_SIZE;反叛支持;;;;;;;;;;X
REB_TYPE_POWER;反叛力量;;;;;;;;;;X
PRODUCTION_MUST_PORT_ONLY;只能在港口生产\n;;;;;;;;;;X
POPULATION_CHANGED_BY;人口改变;;;;;;;;;;X
COMBAT_LEADER_MOD;将领;;;;;;;;;;X
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;选举中不能更换执政党;;;;;;;;;;X
IS_NOT_OVERSEAS;不是海外;;;;;;;;;;X
IS_OVERSEAS;是海外;;;;;;;;;;X
SHIP_SUB_NAME;$HOME$第$NUM$$TYPE$;;;;;;;;;;X
FOLLOWING_HAVE_CLAIMS;以下国家对这里有主权要求：;;;;;;;;;;X
COUNTRY_IS_NOT_CULTURE;主体民族不是;;;;;;;;;;X
COUNTRY_IS_CULTURE;主体民族是;;;;;;;;;;X
NO_ASSIM_NOW;当前没有同化;;;;;;;;;;X
MODIFIER_LOCAL_REPAIR;舰船修理速度;;;;;;;;;;X
BADBOY_DRO_1;每月恶名变化：\n;;;;;;;;;;X
REGIMENT_SIZE;目前兵力：$SIZE$\n;;;;;;;;;;X
CURRENT_MORALE;组织度：$SIZE$，最大$MAX$\n;;;;;;;;;;X
SUPPLY_COST;补给花费;;;;;;;;;;X
ALL_CORE_PROVINCE_THAT;在所有核心省份;;;;;;;;;;X
BREAKCOUNTRY_SETUP;当反叛集团在我国强制执行他们的要求;;;;;;;;;;X
BREAKCOUNTRY_HEADER;来自$CAPITAL$的报告;;;;;;;;;;X
BREAKCOUNTRY_1;$FACTION$胜利了！;;;;;;;;;;X
BREAKCOUNTRY_2;$MONARCHTITLE$，$FACTION$已经强制执行他们的要求了！;;;;;;;;;;X
BREAKCOUNTRY_3;我们没有选择余地，只能接受！;;;;;;;;;;X
BREAKCOUNTRY_4;$EFFECTS$;;;;;;;;;;X
BREAKCOUNTRY_5;*;;;;;;;;;;X
BREAKCOUNTRY_6;*;;;;;;;;;;X
BREAKCOUNTRY_LOG;$FACTION$强制执行他们的要求！;;;;;;;;;;X
BREAKCOUNTRY_BTN1;糟糕！;;;;;;;;;;X
BREAKCOUNTRY_BTN2;糟糕！;;;;;;;;;;X
BREAKCOUNTRY_BTN3;查看;;;;;;;;;;X
BREAKCOUNTRY_MAP;*;;;;;;;;;;X
BREAKCOUNTRYOTHER_SETUP;当叛军在他国执行他们的要求;;;;;;;;;;X
