DIPLOMACY_AI_ACCEPTANCE;§Y$COUNTRY$§WµÄ»ØÓ¦£º§Y$ODDS$§W;;;;;;;;x;;;
TOO_SOON_FOR_REFORM;ÔÚ§Y$DATE$§WÖ®Ç°ÎÒÃÇÎÞ·¨ÊµÐÐÁíÒ»Ïî¸Ä¸ï;;;;x;;;;;;;
SIEGE_EXTRA_ATTR;Õ¼ÁìÇøµÄµÖ¿¹Ôì³É§R+$VAL$%§WµÄËðºÄ;;;;x;;;;;;;
NO_SEPARATE_PEACE_CRISIS;ÎÒÃÇÎÞ·¨ÔÚÒ»³¡Î£»úÕ½ÕùÖÐµ¥¶ÀæÅºÍ;;;;;;;;;;;x
CRISIS_RESOLUTION_EFFECTS;ÒÔ´Ë·½Ê½½â¾öÎ£»ú¿ÉÒÔÎªÄã´øÀ´$VAL$µÄÍþÍû;;;;;;;;;;;x
CRISIS_RESOLUTION_RELATIONS;ÓëÒÔÏÂ¹ú¼ÒµÄ¹ØÏµ½«»á¸Ä±ä£º;;;;;;;;;;;x
flintlock_rifle_armament;ìÝ·¢Ç¹×°±¸;;;;;;;;;;X
flintlock_rifle_armament_desc;ìÝ·¢Ç¹·¢Ã÷ÓÚ17ÊÀ¼Í³õÆÚ£¬ËûÃÇºÜ¿ìµÄ³ÉÎªµã»ðÊ½»ðÆ÷Èç¿¨ËøÇ¹¡¢»ðÉþÇ¹ºÍ»ÉÂÖÇ¹µÄÌæ´úÆ·¡£ÔÚËæºóµÄÁ½¸öÊÀ¼ÍÀï£¬ìÝ·¢Ç¹±»¹ã·ºÔËÓÃ£¬È»ºó±»À×¹ÜÇ¹ËùÈ¡´ú£¬²¢×îÖÕÔÚ19ÊÀ¼ÍÇ°ÖÐÆÚ±»»ùÓÚ×Óµ¯ÏµÍ³µÄ²½Ç¹ËùÈ¡´ú¡£¾¡¹ÜìÝ·¢Ç¹Ô¶Ô¶²»ÈçÏÖ´úÇ¹Ðµ£¬µ«ÊÇËüÈÔÈ»±»ºÚ»ðÒ©°®ºÃÕßËùÏ²°®¡£;;;;;;;;;;X
post_napoleonic_army_doctrine;ºóÄÃÆÆÂØÊ±ÆÚ¾üÊÂË¼Ïë;;;;;;;;;;X
post_napoleonic_army_doctrine_desc;·¨¹ú´ó¸ïÃüºÍÄÃÆÆÂØÊ±ÆÚ¶¼·îÐÐÒ»ÖÖ¸ïÐÂµÄ¾üÊÂË¼Ïë¡£¸ÃÊ±ÆÚµÄÓ°Ïì¼´Ê¹ÔÚÃÀ¹úÄÚÕ½ºÍÒ»Õ½ÔçÆÚÒ²´æÔÚ¡£±ãÒËºÍÐ¡ÐÍµÄÎäÆ÷ºÍ²ÝÂÊÑµÁ·µÄÊ¿±øÈÃ¾ü¶ÓµÄ¹æÄ£ºÍ¿ÕÇ°ÅòÕÍ£¬Õâµ¼ÖÂ¾ü¶ÓÐèÒª±»»®·ÖÎªÒÔÊ¦Îªµ¥Î»£¬Ö®ºó¸ü±»·Ö³ÉÒÔ¾üÎªµ¥Î»¡£ÅÚ±øÊ¦Ò²ÊÇÔÚÕâÒ»Ê±ÆÚ³öÏÖ¡£;;;;;;;;;;X
muzzle_loaded_rifle_armament;Ç°ÌÅÇ¹×°±¸;;;;;;;;;;X
