#;;;;;;;;;;;;;x
acquire_core_state;萌战淘汰赛;;;;;;;;;;X
acquire_core_state_short;淘汰$STATE$;;;;;;;;;;X
acquire_core_state_desc;要求目标从萌战中退出;;;;;;;;;;X
acquire_core_state_setup;要求$RECIPIENT$的$STATE$从萌战中退出;;;;;;;;;;X
NORMAL_WAR_MOE_NAME;$ORDER$$FIRST_COUNTRY$淘汰$STATE$之战;;;;;;;;;;X
role_in_moe_war;日萌参赛;;;;;;;;;;X
EVTNAME540001;奈叶进入正赛！;;;;;;;;;;X
EVTDESC540001;这里是奈叶的介绍;;;;;;;;;;X
EVTNAME541001;奈叶战败;;;;;;;;;;X
EVTDESC541001;这里是奈叶的介绍;;;;;;;;;;X
EVTNAME540002;翠星石进入正赛！;;;;;;;;;;X
EVTDESC540002;这里是翠星石的介绍;;;;;;;;;;X
EVTNAME541002;翠星石战败;;;;;;;;;;X
EVTDESC541002;这里是翠星石的介绍;;;;;;;;;;X
EVTNAME230500;2005年萌战;;;;;;;;;;X
EVTDESC230500;前三年的萌战已经平稳终结；人们如往常一样迎接05年萌战的到来，殊不知，现在的萌战已经不是最萌时代的萌战了。;;;;;;;;;;X
EVTNAME230001;参加萌战！;;;;;;;;;;X
EVTDESC230001;萌战已经开始。是时候做好准备了！;;;;;;;;;;X
EVTNAME230002;战败！;;;;;;;;;;X
EVTDESC230002;我们的所有参赛选手都已经被淘汰。我们不得不很遗憾的退出这场萌战。;;;;;;;;;;X
EVTNAME230003;新的对手;;;;;;;;;;X
EVTDESC230003;$STATE$的下一个对手已经确定。;;;;;;;;;;X
EVTNAME230004;萌王！;;;;;;;;;;X
EVTDESC230004;我们已经淘汰了所有的对手。是时候加冕为萌王了！;;;;;;;;;;X
EVTNAME230005;$STATE$的加冕仪式;;;;;;;;;;X
EVTDESC230005;$STATE$的海报已经传遍大街小巷。为我们的新萌王欢呼把！;;;;;;;;;;X
#EVTNAME230006;$STATE$被淘汰;;;;;;;;;;X
#EVTDESC230006;$STATE$在不久前的比赛中惨遭淘汰。让我们默哀。;;;;;;;;;;X
