LACK_OF_MAINTENANCE_GOODS;х╠╥╕н╛ЁжнОвй;;;;;;;;x
AIREASON_TOO_MANY_CRISIS_WARGOALS;тЖ╪су╫уЫд©╠Й;;;;;;;;x
AIREASON_NOT_OVERLORD;╡╩йгнр╧З╣двзжВ╧З;;;;;;;;x
EVTNAME36230;╧╨бР╠╠╪╚пэ;;;;;;;;x
EVTDESC36230;яОбМяслАрИ©╙р╩╦Ж╨ц╪ш╦Я╧╨бРнрцгх╚╡©╣д╠╠╪╚пэ║ёкШцгЁпе╣╫╚╤туБжжвП╧С╣диЗнОртюЯоЮ╢Щ║ё;;;;;;;;x
EVTOPTA36230;╨ц╣дё║;;;;;;;;x
EVTOPTB36230;╬Ь╡╩;;;;;;;;x
EVTNAME36231;╧╨бР╠╠╪╚пэ║╙╣╓бС╫сйэ;;;;;;;;x
EVTDESC36231;╣╓бСм╛рБ╫╚фДх╚╡©╣д╠╠╪╚пэйшсХнрцг║ё;;;;;;;;x
EVTOPTA36231;л╚╟Такё║;;;;;;;;x
EVTNAME36232;╧╨бР╠╠╪╚пэ║╙╣╓бС╬э╬Ь;;;;;;;;x
EVTDESC36232;╣╓бС╬э╬Ь╫╚фДх╚╡©╣д╠╠╪╚пэйшсХнрцг║ё;;;;;;;;x
EVTOPTA36232;е╤╡╩ё║;;;;;;;;x
the_greenland_purchase_title;╧╨бР╠╠╪╚пэ;;;;;;;x
the_greenland_purchase_desc;р╩ж╠ртю╢ю╖хен╟╢С╣дяОбМясхкцЯ╣др╩╪Чйбйгх╚йю╫Г╣дкЫсп╠╠╪╚пэ╡╒ц╩спме╫Атзр╩цФ╧ЗфЛж╝об║ёнрцгс╕╦цсК╣╓бС╫с╢╔ё╛©╢кШцгт╦╡╩т╦рБсКкШцг╣дпэ╥жюК║ё;;;;;;;;x
bears;пэ;;;;;;;;x
polar_bears;уФ╠╠╪╚пэ;;;;;;;;x
INFLUENCE_SPHERE_NEIGHBOUR;оЮаз╣дйфа╕х╕Ёит╠;;;;;;;;x
col_liferate_techs;яп╬©ртоб©ф╪╪дэ╧╩╟ОжЗ╦диф╣╠╣ьиЗ╩НлУ╪Ч:;;;;;;;;x
unite_moldavia_wallachia_title;д╕╤Ш╢Он╛ягсКмъю╜╪╦яга╙╨оё║;;;;;;;;x
unite_moldavia_wallachia_desc;д╕╤Ш╢Он╛ягсКмъю╜╪╦яга╫╧З╧╡м╛вИ╫╗акбчбМдАягё║;;;;;;;;x
SOIS_HAS_REBELS_WARNING;ея╬Эря╬╜фП╤Ь╥╢©╧нрцг╣дйфа╕х╕Ёит╠ё╨╖Y$LIST$╖!;;;;;;;;x
ALLIANCE_INVALID_GPS_IN_CRISIS;╣╠╖Yнё╩З╖!уЩтз╫Ьппй╠ё╛нч╥╗╫╗а╒╖Yа╫╦Жапг©╖!ж╝╪Д╣да╙цк║ё;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_1_DASHED;жппИ╪Щм╥1;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_2_DASHED;жппИ╪Щм╥2;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_3_DASHED;жппИ╪Щм╥3;;;;;;;x
BP_TOOL_ARROW_THICK_DASHED;╢жпИ╪Щм╥;;;;;;;;x
BP_TOOL_ARROW_SLIM_DASHED;о╦пИ╪Щм╥;;;;;;;;x
BP_OPEN_TOOLTIP;©╙фТ/╧ь╠увВу╫╪ф╩╝╠Ю╪╜║ё;;;;;;;;;;x
BP_TOGGLE_TOOLTIP;отй╬/рЧ╡ьожспвВу╫╪ф╩╝║ё;;;;;;;;;;x
EVTOPTC23212;р╩©е╠╩жЁцЯ╣дЕГпгр╩╤╗©иртЁин╙р╩©е╨цнюпгё║;;;;;;;;x
liberate_liberia_title;╫Б╥еюШ╠хюОяг;;;;;;;;;;x;;;;
