LEDGER_COUNTRY_NAME;¹ú¼Ò;;;;;;;;;;X
LEDGER_COUNTRY_MILSCORE;¾üÊÂ·ÖÊý;;;;;;;;;;X
LEDGER_COUNTRY_INDSCORE;¹¤Òµ·ÖÊý;;;;;;;;;;X
LEDGER_COUNTRY_PRESTIGE;ÍþÍû;;;;;;;;;;X
LEDGER_COUNTRY_TOTALSCORE;×Ü·ÖÊý;;;;;;;;;;X
LEDGER_HEADER_PROVINCES;Ê¡·Ý;;;;;;;;;;X
LEDGER_PROVINCE_NAME;Ê¡·Ý;;;;;;;;;;X
LEDGER_PROVINCE_TOTALPOP;×ÜÈË¿Ú;;;;;;;;;;X
LEDGER_PROVINCE_AVGMIL;Æ½¾ù¶·ÕùÐÔ;;;;;;;;;;X
LEDGER_PROVINCE_AVGCON;Æ½¾ù¾õÐÑ¶È;;;;;;;;;;X
LEDGER_PROVINCE_AVGLIT;Æ½¾ùÊ¶×ÖÂÊ;;;;;;;;;;X
LEDGER_PROVINCE_RELIGION;ÐÅÑö;;;;;;;;;;X
LEDGER_PROVINCE_CULTURE;Ãñ×å;;;;;;;;;;X
LEDGER_PROVINCE_ISSUE;Õþ¼û;;;;;;;;;;X
LEDGER_PROVINCE_IDEOLOGY;ÒâÊ¶ÐÎÌ¬;;;;;;;;;;X
LEDGER_HEADER_PROVINCE_POPS;Ê¡·ÝÈË¿Ú;;;;;;;;;;X
LEDGER_HEADER_ARMY;¾ü¶Ó;;;;;;;;;;X
LEDGER_ARMY_NAME;¾ü¶Ó;;;;;;;;;;X
LEDGER_ARMY_INFANTRY;²½±ø;;;;;;;;;;X
LEDGER_ARMY_CAVALRY;Æï±ø;;;;;;;;;;X
LEDGER_ARMY_ARTILLERY;ÅÚ±ø;;;;;;;;;;X
LEDGER_HEADER_GOODS_PRICEHISTORY;¼Û¸ñÀúÊ·;;;;;;;;;;X
LEDGER_COUNTRY_STATUS;µØÎ»;;;;;;;;;;X
LEDGER_HEADER_COUNTRYCOMPARE;¹ú¼Ò¶Ô±È;;;;;;;;;;X
LEDGER_COUNTRY_TOTAL_POP;×ÜÈË¿Ú;;;;;;;;;;X
LEDGER_COUNTRY_PROVCOUNT;Ê¡·Ý;;;;;;;;;;X
LEDGER_COUNTRY_FACTORYCOUNT;¹¤³§;;;;;;;;;;X
LEDGER_COUNTRY_LITERACY;Ê¶×ÖÂÊ;;;;;;;;;;X
LEDGER_COUNTRY_LEADERSHIP;Áìµ¼Á¦;;;;;;;;;;X
LEDGER_COUNTRY_DIVISIONS;²½±øÂÃ;;;;;;;;;;X
LEDGER_COUNTRY_SHIPS;º£¾ü½¢´¬;;;;;;;;;;X
LEDGER_HEADER_COUNTRYPARTY;ÕþÖÎÖÆ¶È;;;;;;;;;;X
LEDGER_COUNTRY_GOVERNMENT;ÕþÌå;;;;;;;;;;X
LEDGER_COUNTRY_NATIONALVALUE;¹ú¼Ò¼ÛÖµ;;;;;;;;;;X
LEDGER_COUNTRY_RULINGPARTY;Ö´Õþµ³;;;;;;;;;;X
LEDGER_COUNTRY_RULINGIDEOLOGY;Ö´Õþµ³ÒâÊ¶ÐÎÌ¬;;;;;;;;;;X
LEDGER_HEADER_COUNTRYPOLITICALREFORMS;ÕþÖÎ¸Ä¸ï;;;;;;;;;;X
LEDGER_HEADER_COUNTRYSOCIALREFORMS;Éç»á¸Ä¸ï;;;;;;;;;;X
LEDGER_HEADER_COUNTRY_POPS;¹ú¼ÒÈË¿Ú;;;;;;;;;;X
LEDGER_HEADER_PROVINCEPRODUCTION;Ê¡·ÝÉú²ú;;;;;;;;;;X
LEDGER_STATE_NAME;µØÇø;;;;;;;;;;X
LEDGER_GOODS;Îï×Ê;;;;;;;;;;X
LEDGER_OUTPUT;²úÁ¿;;;;;;;;;;X
LEDGER_INCOME;ÊÕÒæ;;;;;;;;;;X
LEDGER_EMPLOYED;¹ÍÓ¶¹¤ÈË;;;;;;;;;;X
LEDGER_LEVEL;µÈ¼¶;;;;;;;;;;X
LEDGER_HEADER_FACTORYPRODUCTION;¹¤³§Éú²ú;;;;;;;;;;X
BUDGET;²ÆÕþ;;;;;;;;;;X
BUDGET_TAX_POOR;Ë°ÊÕ£¨Æ¶À§½×²ã£©;;;;;;;;;;X
BUDGET_TAX_POOR_DESC;;;;;;;;;;;X
BUDGET_TAX_MIDDLE;Ë°ÊÕ£¨ÖÐ²ú½×²ã£©;;;;;;;;;;X
BUDGET_TAX_MIDDLE_DESC;;;;;;;;;;;X
BUDGET_TAX_RICH;Ë°ÊÕ£¨¸»Ô£½×²ã£©;;;;;;;;;;X
BUDGET_TAX_RICH_DESC;;;;;;;;;;;X
